trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,1.7609533440008818,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
0,0,0,0,,,,,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
1,0,1,0,,,,,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,,,,,,,space,1.9953357099984714,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,0,0,0,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,1,0,1,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,2,0,2,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,3,0,3,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,4,0,4,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,5,0,5,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,6,0,6,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,7,0,7,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,8,0,8,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
,,,,9,0,9,0,,,,,mateusz2,001,2019_maj_10_1105,EMG_Controller_Training,3.0.0+brain1,None,
