11.6804 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
14.9121 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

14.9130 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f983c65fb00>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f983c586be0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.9131 	EXP 	window1: recordFrameIntervals = False
15.0796 	EXP 	window1: recordFrameIntervals = True
15.1674 	WARNING 	t of last frame was 23.12ms (=1/43)
15.2673 	WARNING 	t of last frame was 23.08ms (=1/43)
15.3148 	WARNING 	t of last frame was 20.47ms (=1/48)
15.3664 	WARNING 	t of last frame was 22.01ms (=1/45)
15.4675 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
16.7444 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.0322 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
17.0391 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Dłoń w górę', units='norm', win=Window(...), wrapWidth=1)
17.0451 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Dłoń w dół', units='norm', win=Window(...), wrapWidth=1)
17.0513 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Zaciśnij pięść', units='norm', win=Window(...), wrapWidth=1)
17.0647 	EXP 	Created text_13 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_13', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Wróć do pozycji wyjściowej', units='norm', win=Window(...), wrapWidth=1)
17.0739 	EXP 	Created text_14 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_14', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Wróć do pozycji wyjściowej\n', units='norm', win=Window(...), wrapWidth=1)
17.0823 	EXP 	Created text_15 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_15', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Wróć do pozycji wyjściowej', units='norm', win=Window(...), wrapWidth=1)
17.0919 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Nacisnij spację by zacząć serię właściwą.', units='norm', win=Window(...), wrapWidth=1)
17.0994 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Dłoń w górę.', units='norm', win=Window(...), wrapWidth=1)
17.1050 	EXP 	Created text_7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_7', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Dłoń w dół', units='norm', win=Window(...), wrapWidth=1)
17.1146 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Nie rób nic', units='norm', win=Window(...), wrapWidth=1)
17.1262 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_10', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Wróć do pozycji wyjściowej', units='norm', win=Window(...), wrapWidth=1)
17.1346 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Wróć do pozycji wyjściowej\n', units='norm', win=Window(...), wrapWidth=1)
17.1422 	EXP 	Created text_12 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_12', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Wróć do pozycji wyjściowej', units='norm', win=Window(...), wrapWidth=1)
17.1504 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Dziękujemy za współpracę :)', units='norm', win=Window(...), wrapWidth=1)
17.1580 	EXP 	text: autoDraw = True
18.1307 	DATA 	Keypress: space
20.9444 	DATA 	Keypress: space
20.9640 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
20.9650 	EXP 	New trial (rep=0, index=0): None
20.9729 	EXP 	text: autoDraw = False
20.9729 	EXP 	text_2: autoDraw = True
23.0016 	EXP 	text_2: autoDraw = False
23.0016 	EXP 	text_13: autoDraw = True
23.9963 	EXP 	text_3: autoDraw = True
23.9963 	EXP 	text_13: autoDraw = False
25.9966 	EXP 	text_3: autoDraw = False
25.9966 	EXP 	text_14: autoDraw = True
26.9956 	EXP 	text_4: autoDraw = True
26.9956 	EXP 	text_14: autoDraw = False
28.9989 	EXP 	text_4: autoDraw = False
28.9989 	EXP 	text_15: autoDraw = True
29.9482 	EXP 	New trial (rep=1, index=0): None
29.9645 	EXP 	text_2: autoDraw = False
29.9645 	EXP 	text_3: autoDraw = False
29.9645 	EXP 	text_4: autoDraw = False
29.9645 	EXP 	text_13: autoDraw = False
29.9645 	EXP 	text_14: autoDraw = False
29.9645 	EXP 	text_15: autoDraw = False
29.9645 	EXP 	text_2: autoDraw = True
31.9773 	EXP 	text_2: autoDraw = False
31.9773 	EXP 	text_13: autoDraw = True
32.9774 	EXP 	text_3: autoDraw = True
32.9774 	EXP 	text_13: autoDraw = False
34.9817 	EXP 	text_3: autoDraw = False
34.9817 	EXP 	text_14: autoDraw = True
35.9834 	EXP 	text_4: autoDraw = True
35.9834 	EXP 	text_14: autoDraw = False
37.9825 	EXP 	text_4: autoDraw = False
37.9825 	EXP 	text_15: autoDraw = True
38.9829 	EXP 	text_2: autoDraw = False
38.9829 	EXP 	text_3: autoDraw = False
38.9829 	EXP 	text_4: autoDraw = False
38.9829 	EXP 	text_13: autoDraw = False
38.9829 	EXP 	text_14: autoDraw = False
38.9829 	EXP 	text_15: autoDraw = False
38.9829 	EXP 	text_5: autoDraw = True
40.9781 	DATA 	Keypress: space
40.9794 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
40.9822 	EXP 	New trial (rep=0, index=0): None
40.9992 	EXP 	text_5: autoDraw = False
40.9992 	EXP 	text_6: autoDraw = True
42.0113 	EXP 	text_6: autoDraw = False
42.0113 	EXP 	text_10: autoDraw = True
43.9987 	EXP 	text_7: autoDraw = True
43.9987 	EXP 	text_10: autoDraw = False
45.0142 	EXP 	text_7: autoDraw = False
45.0142 	EXP 	text_11: autoDraw = True
47.0185 	EXP 	text_8: autoDraw = True
47.0185 	EXP 	text_11: autoDraw = False
48.0142 	EXP 	text_8: autoDraw = False
48.0142 	EXP 	text_12: autoDraw = True
