name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.40451502600262756,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
fist,0,0,0,4,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
4-5 finger contration,0,1,1,3,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
thumb middle adduction,0,2,2,2,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
fist,0,3,3,4,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
wrist extension - right,0,4,4,0,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
wrist flection - left,1,0,5,1,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
4-5 finger contration,1,1,6,3,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
wrist flection - left,1,2,7,1,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
wrist extension - right,1,3,8,0,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
thumb middle adduction,1,4,9,2,,,,001,2019_kwi_10_1750,experiment_2,3.0.5,59.77077596539251,
