name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,18.751149690000602,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist flection - left,0,0,0,1,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
thumb middle adduction,0,1,1,2,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
fist,0,2,2,4,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist flection - left,0,3,3,1,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist extension - right,0,4,4,0,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
4-5 finger contration,1,0,5,3,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
4-5 finger contration,1,1,6,3,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
thumb middle adduction,1,2,7,2,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist extension - right,1,3,8,0,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
fist,1,4,9,4,,,,,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
,,,,,,,,,,,space,15.93368695800018,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
fist,,,,,0,0,0,4,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
thumb middle adduction,,,,,0,1,1,2,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist flection - left,,,,,0,2,2,1,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
4-5 finger contration,,,,,0,3,3,3,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist extension - right,,,,,0,4,4,0,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist extension - right,,,,,1,0,5,0,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
thumb middle adduction,,,,,1,1,6,2,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
fist,,,,,1,2,7,4,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist flection - left,,,,,1,3,8,1,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
fist,,,,,1,4,9,4,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
4-5 finger contration,,,,,2,0,10,3,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist flection - left,,,,,2,1,11,1,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
wrist extension - right,,,,,2,2,12,0,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
thumb middle adduction,,,,,2,3,13,2,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
4-5 finger contration,,,,,2,4,14,3,,,,,mateusz,001,2019_kwi_09_2206,experiment_2,3.0.5,59.98308357051315,
