name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,155.70499042699885,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist flection - left,0,0,0,1,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist flection - left,0,1,1,1,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
thumb middle adduction,0,2,2,2,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
thumb middle adduction,0,3,3,2,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist extension - right,0,4,4,0,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
fist,1,0,5,4,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
fist,1,1,6,4,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist extension - right,1,2,7,0,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
4-5 finger contration,1,3,8,3,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
4-5 finger contration,1,4,9,3,,,,,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
,,,,,,,,,,,space,13.516260795999187,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
4-5 finger contration,,,,,0,0,0,3,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
thumb middle adduction,,,,,0,1,1,2,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist extension - right,,,,,0,2,2,0,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist flection - left,,,,,0,3,3,1,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
wrist extension - right,,,,,0,4,4,0,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
fist,,,,,1,0,5,4,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
fist,,,,,1,1,6,4,,,,,przemek,001,2019_kwi_10_1615,experiment_2,3.0.5,60.01781796970693,
